Name,Category,Subcategory,SKU,Catalog Number,Price,Stock Quantity,Description,In Stock
"FORWARD SWITCH","Electrical Parts","Switches","FLS-A-LB32-101A","CAT-001",55.00,15,"High-quality forward switch","Yes"
"COMBINATION SWITCH","Electrical Parts","Switches","FLS-A-LB31-912B","CAT-002",48.00,8,"Multi-function switch","Yes"
"HYDRAULIC PUMP","Hydraulic Parts","Pumps","FLS-HP-001","CAT-003",180.00,3,"Complete pump assembly","Yes"
"BRAKE PAD SET","Brake Parts","Pads","FLS-BP-002","CAT-004",35.00,0,"Premium brake pads","No"
"AIR FILTER","Filters","Air","FLS-AF-001","CAT-005",22.00,25,"High-efficiency filter","Yes"











