Name,Category,Subcategory,SKU,Catalog Number,Price,Stock Quantity,Description,In Stock
"FORWARD SWITCH","Electrical Parts","Switches","FLS-A-LB32-101A","CAT-001",55.00,15,"High-quality forward switch","Yes"
"COMBINATION SWITCH","Electrical Parts","Switches","FLS-A-LB31-912B","CAT-002",48.00,8,"Multi-function switch","Yes"
"HYDRAULIC PUMP","Hydraulic Parts","Pumps","FLS-HP-001","CAT-003",180.00,3,"Complete pump assembly","Yes"
"BRAKE PAD SET","Brake Parts","Pads","FLS-BP-002","CAT-004",35.00,0,"Premium brake pads","No"
"AIR FILTER","Filters","Air","FLS-AF-001","CAT-005",22.00,25,"High-efficiency filter","Yes"
"OIL FILTER","Filters","Oil","FLS-OF-001","CAT-006",15.00,40,"Premium oil filter","Yes"
"WATER PUMP","Cooling Parts","Pumps","FLS-WP-001","CAT-007",95.00,12,"Complete water pump","Yes"
"RADIATOR CORE","Cooling Parts","Radiators","FLS-RC-001","CAT-008",140.00,8,"High-performance core","Yes"
"PISTON RING SET","Engine Parts","Pistons","FLS-PR-001","CAT-009",75.00,18,"Complete ring set","Yes"
"CRANKSHAFT BEARING","Engine Parts","Crankshafts","FLS-CB-001","CAT-010",55.00,22,"Precision bearing","Yes"
"GEAR SET","Transmission Parts","Gears","FLS-GS-001","CAT-011",220.00,6,"Complete gear set","Yes"
"CLUTCH DISC","Transmission Parts","Clutches","FLS-CD-001","CAT-012",110.00,15,"High-performance disc","Yes"
"HYDRAULIC CYLINDER","Hydraulic Parts","Cylinders","FLS-HC-001","CAT-013",320.00,4,"Heavy-duty cylinder","Yes"
"CONTROL VALVE","Hydraulic Parts","Valves","FLS-CV-001","CAT-014",85.00,20,"Precision valve","Yes"
"THERMOSTAT","Cooling Parts","Thermostats","FLS-TH-001","CAT-015",25.00,30,"Temperature control","Yes"










