Name,Category,Subcategory,SKU,Catalog Number,Price,Stock Quantity,Description,In Stock
"FORWARD and REVERSE SWITCH","Electrical Parts","Switches","FLS#: A-LB32-101A-0479A","CAT-001",55.00,15,"High-quality forward and reverse switch for forklift control systems","Yes"
"COMBINATION SWITCH","Electrical Parts","Switches","FLS#: A-LB31-912B-0377A","CAT-002",48.00,8,"Multi-function combination switch for forklift lighting and control systems","Yes"
"HYDRAULIC PUMP ASSEMBLY","Hydraulic Parts","Hydraulic Pumps","FLS#: HP-001","CAT-003",180.00,3,"Complete hydraulic pump assembly for forklift lifting systems","Yes"
"BRAKE PAD SET","Brake Parts","Brake Pads","FLS#: BP-002","CAT-004",35.00,0,"Premium brake pad set for forklift braking systems","No"
"ENGINE AIR FILTER","Filters","Air Filters","FLS#: AF-001","CAT-005",22.00,25,"High-efficiency air filter for forklift engines","Yes"
"OIL FILTER CARTRIDGE","Filters","Oil Filters","FLS#: OF-001","CAT-006",15.00,40,"Premium oil filter cartridge for engine lubrication systems","Yes"
"WATER PUMP ASSEMBLY","Cooling Parts","Water Pumps","FLS#: WP-001","CAT-007",95.00,12,"Complete water pump assembly for engine cooling systems","Yes"
"RADIATOR CORE","Cooling Parts","Radiators","FLS#: RC-001","CAT-008",140.00,8,"High-performance radiator core for efficient engine cooling","Yes"
"PISTON RING SET","Engine Parts","Pistons & Rings","FLS#: PR-001","CAT-009",75.00,18,"Complete piston ring set for engine rebuilds","Yes"
"CRANKSHAFT BEARING","Engine Parts","Crankshafts","FLS#: CB-001","CAT-010",55.00,22,"Precision-engineered crankshaft bearing for smooth engine operation","Yes"
"GEAR SET","Transmission Parts","Gears","FLS#: GS-001","CAT-011",220.00,6,"Complete gear set for transmission systems","Yes"
"CLUTCH DISC","Transmission Parts","Clutches","FLS#: CD-001","CAT-012",110.00,15,"High-performance clutch disc for smooth engagement","Yes"
"HYDRAULIC CYLINDER","Hydraulic Parts","Hydraulic Cylinders","FLS#: HC-001","CAT-013",320.00,4,"Heavy-duty hydraulic cylinder for lifting applications","Yes"
"CONTROL VALVE","Hydraulic Parts","Control Valves","FLS#: CV-001","CAT-014",85.00,20,"Precision control valve for hydraulic systems","Yes"
"THERMOSTAT","Cooling Parts","Thermostats","FLS#: TH-001","CAT-015",25.00,30,"Temperature control thermostat for engine cooling systems","Yes"
"SPARK PLUG SET","Engine Parts","Ignition","FLS#: SP-001","CAT-016",45.00,50,"High-performance spark plug set for optimal ignition","Yes"
"FUEL PUMP","Engine Parts","Fuel System","FLS#: FP-001","CAT-017",120.00,7,"Electric fuel pump for reliable fuel delivery","Yes"
"ALTERNATOR","Electrical Parts","Charging System","FLS#: ALT-001","CAT-018",200.00,5,"High-output alternator for electrical system","Yes"
"STARTER MOTOR","Electrical Parts","Starting System","FLS#: SM-001","CAT-019",180.00,6,"Heavy-duty starter motor for reliable engine starting","Yes"
"BATTERY","Electrical Parts","Power System","FLS#: BAT-001","CAT-020",150.00,12,"Deep-cycle battery for forklift applications","Yes"






